run,condition,seed,corpus,layers,lr,steps,parameters,vocabulary,final_train_loss,final_val_loss,correct_48,scorable_48,starter_patterns_16,transfer_8,negation_3,spatial_3,negation_margin,spatial_margin,probe_flip_6,probe_fresh_6,recency_trap_6,recency_picked_negated,model_sha256
A_seed1,A,1,experiments/empty_corpus,2,0.001,3000,111872,136,0.7012,0.6834,22,24,16,6,0,0,,,0,0,,,831c286aa3acc78509d3806a7c2eedcccc3c6c0d199026e22a1a75c3b38d716a
A_seed2,A,2,experiments/empty_corpus,2,0.001,3000,111872,136,0.7031,0.6987,23,24,16,7,0,0,,,0,0,,,06db30ea61b0aaa60ed428d1de3ae8fb152d8f1c285160d84a8f7d74fa640114
A_seed3,A,3,experiments/empty_corpus,2,0.001,3000,111872,136,0.6941,0.6936,23,24,16,7,0,0,,,0,0,,,329376d27260bebf0cb49d78afbc0f608984f29c368174bf7027561723cb6cc9
A_seed42,A,42,experiments/empty_corpus,2,0.001,3000,111872,136,0.6783,0.7061,20,24,16,4,0,0,,,0,0,,,bf49f05b14d5417840f3b551aa61e28c0e521e6d5557f146f3961ffc1afbe84e
B_layers1_seed1,B_layers1,1,corpus,1,0.001,3000,73600,319,0.727,0.7913,29,30,16,8,2,3,0.134,0.364,5,5,3,2,1aeef16267580b3aa68d4d5f9a8fe0cd90a82a930a1bb1c5f803c03159edbc8c
B_layers1_seed2,B_layers1,2,corpus,1,0.001,3000,73600,319,0.8495,0.8522,29,30,16,8,3,2,0.136,0.512,5,5,3,3,6d2d1a64beec5ca96c6d24ca661ddb417fb5691860e766495dbf35750d5043d0
B_layers1_seed3,B_layers1,3,corpus,1,0.001,3000,73600,319,0.7313,0.8355,29,30,16,8,2,3,0.106,0.442,4,5,4,1,31748c3c343234c15d32d2e9047355d000811f8648440754108e767e97c7873d
B_layers1_seed42,B_layers1,42,corpus,1,0.001,3000,73600,319,0.7343,0.7483,28,30,16,8,2,2,0.171,0.298,6,6,3,2,e69ab99082e4097e64f55a1ff771729abc7c88f081726d3a535f643b7f4d94af
B_layers4_seed1,B_layers4,1,corpus,4,0.001,3000,223552,319,0.7268,0.7916,28,30,16,8,1,3,-0.02,0.951,4,5,4,2,dc43309175a63bc1bb8021327a7b2f8651b095f303b6d69fc51d2014a6b7b407
B_layers4_seed2,B_layers4,2,corpus,4,0.001,3000,223552,319,0.8008,0.8245,30,30,16,8,3,3,0.128,0.96,6,6,6,0,c01728318ee33d306eb80a53b461515fe26e689611915b940fb98a9de6e666ff
B_layers4_seed3,B_layers4,3,corpus,4,0.001,3000,223552,319,0.7233,0.8145,30,30,16,8,3,3,0.134,0.908,5,6,5,1,fba95486e4291167949732fa96fa5cc93810d084d6b2cba8ab6c872db0f4cc02
B_layers4_seed42,B_layers4,42,corpus,4,0.001,3000,223552,319,0.7086,0.7227,30,30,16,8,3,3,0.285,0.854,6,6,5,1,4a68dd170c1d2042c9ec719a2943ae4d0362300ada37894a53b3d1326b8ee29e
B_lr0.0001_seed1,B_lr0.0001,1,corpus,2,0.0001,3000,123584,319,1.4017,1.4954,6,30,2,2,0,2,-0.007,0.004,2,1,2,3,3b0db2584bd4267aa09996a8b3b663df260140ad747091be585ef8aa23b7f586
B_lr0.0001_seed2,B_lr0.0001,2,corpus,2,0.0001,3000,123584,319,1.6606,1.7107,8,30,3,3,1,1,-0.003,-0.004,3,3,1,3,b5439c4f4c4ba9a718f07b5045b8f6203c21a4e0642463911402c37c832031e6
B_lr0.0001_seed3,B_lr0.0001,3,corpus,2,0.0001,3000,123584,319,1.3591,1.8341,8,30,4,3,0,1,-0.006,-0.002,3,4,2,3,4bd01f920364b76c62c64f543775fdd8ecc0ce8dc0e3118720c4b6d3218c0d9b
B_lr0.0001_seed42,B_lr0.0001,42,corpus,2,0.0001,3000,123584,319,1.5223,1.3987,4,30,2,1,0,1,-0.004,-0.002,3,4,2,3,430bf61fb4da6065ffeb79e0718d599256e60c835479e1ad301676e93247816f
B_lr0.01_seed1,B_lr0.01,1,corpus,2,0.01,3000,123584,319,0.7184,0.7579,30,30,16,8,3,3,0.985,0.855,6,6,6,0,6a161a09d6c42cfa25673519ea8d24cb9a268e914ffa74b42900b036c27a3b90
B_lr0.01_seed2,B_lr0.01,2,corpus,2,0.01,3000,123584,319,0.7457,0.8229,30,30,16,8,3,3,0.979,0.667,6,6,5,1,944c0c4e2f0195e935b996d4fdeaa49384d4711e0926b3fcb3a88f86ee34c824
B_lr0.01_seed3,B_lr0.01,3,corpus,2,0.01,3000,123584,319,0.7094,0.7685,26,30,16,5,3,2,0.976,0.503,6,6,6,0,1bf169bd5f2d075e554046c7a6c3f4f2c2f6335386e5a12409dbe9d48e8d90dc
